,clean_tweet,label,agreement,emotion
2645,"('family', 'doctor', 'tip', 'important', 'part', 'childhood', 'travel', 'foreign', 'countries')",0.0,0.6666666666666666,neutral
647,"('im', 'hostile', 'vaccinating', 'put', 'friends', 'families', 'risk', 'sickness', 'death', 'wont', 'silent')",1.0,1.0,positive
4757,"('new', 'choices', 'seasonal', 'flu', 'vaccines', 'webmd', 'health', 'newsby', 'brenda', 'goodman', 'mareviewed', 'michael', 'w', 'smith')",0.0,0.6666666666666666,neutral
1732,"('yet', 'kid', 'cant', 'autism', 'vaccinated', 'die', 'several', 'diseases', 'easily', 'contactable', 'amp', 'preventable')",1.0,1.0,positive
6164,"('oh', 'jenny', 'mccarthy', 'hide', 'children', 'might', 'take', 'away', 'vaccines', 'funny', 'true')",1.0,1.0,positive
8065,"('vaccination', 'database', 'look', 'schools', 'counties', 'michigan', 'data', 'includes', 'numbers', 'children', 'vaccinated')",0.0,1.0,neutral
5302,"('cant', 'believe', 'baby', 'got', 'measles', 'disney', 'land', 'hope', 'gets', 'better', 'soon')",0.0,1.0,neutral
1112,"('vaccines', 'never', 'caused', 'autism', 'someone', 'said', 'think')",1.0,0.6666666666666666,positive
5230,"('protection', 'measless', 'much', 'better', 'protection', 'mumps', 'shot', 'different', 'componentsampresponse')",1.0,0.6666666666666666,positive
1645,"('im', 'dying', 'feel', 'hell', 'measles', 'mono', 'whichever', 'sucks')",0.0,0.6666666666666666,neutral
6907,"('road', 'platinum', 'come', 'full', 'stop', 'mmr', 'low', 'sad', 'day')",0.0,1.0,neutral
3198,"('dc', 'region', 'scrambles', 'flu', 'shots', 'cdc', 'reporting', 'years', 'vaccine', 'percent', 'effective')",1.0,0.6666666666666666,positive
1612,"('s', 'important', 'folks', 'via', 'texas', 'megachurch', 'center', 'measles', 'outbreak')",1.0,0.6666666666666666,positive
6738,"('measles', 'child', 'killer', 'survive', 'common', 'complication', 'deafness', 'better', 'primary', 'healthcare', 'will', 'kids')",0.0,0.6666666666666666,neutral
2859,"('estamos', 'vacunados', 'contra', 'muchas', 'cosas', 'pero', 'aún', 'así', 'hay', 'que', 'ponerse', 'refuerzos', 'de', 'ciertas', 'vacunas', 'recientemente', 'puse', 'la', 'mmr')",0.0,1.0,neutral
5645,"('measles', 'new', 'ebola', 'wait', 'whats', 'ebola', 'oh', 'yea', 'pandemic', 'never', 'happened', 'chill', 'people')",0.0,0.6666666666666666,neutral
924,"('mogul', 'caribbean', 'resturant', 'almost', 'completed', 'sporting', 'old', 'style', 'street', 'mogul', 'shirt')",0.0,1.0,neutral
4747,"('weird', 'thought', 'ben', 'carson', 'conservative', 'said', 'kids', 'vaccinated', 'sigh')",1.0,0.6666666666666666,positive
3812,"('ya', 'trop', 'de', 'pubs', 'trop', 'de', 'marques', 'c', 'devenu', 'chiant', 'qd', 'mmr')",0.0,1.0,neutral
8967,"('whaley', 'right', 'now', 'daddy', 'o', 'single', 'release', 'party')",0.0,1.0,neutral
4828,"('measles', 'new', 'thinglol')",0.0,0.6666666666666666,neutral
4384,"('umf', 'madhatterdc')",0.0,1.0,neutral
9163,"('really', 'happens', 'youre', 'infected', 'measles', 'one', 'chart')",0.0,1.0,neutral
5143,"('aids', 'n', 'large', 'hiv', 'vaccine', 'trial', 'launch', 'south', 'africa', 'us', 'national', 'institutes', 'health', 'nih', 'partners')",0.0,0.6666666666666666,neutral
1123,"('another', 'study', 'finds', 'link', 'mmr', 'vaccine', 'autism')",0.0,0.6666666666666666,neutral
7727,"('agree', 'w', 'immunizingwork', 'hospital', 'amp', 'see', 'first', 'hand', 'want', 'kids', 'build', 'natural', 'immunity', 'let', 'play', 'dirt', 'amp', 'eat', 'bug')",1.0,1.0,positive
3841,"('parents', 'allowed', 'choose', 'whether', 'vaccinate', 'kids', 'choice', 'one', 'didnt', 'fine')",1.0,0.6666666666666666,positive
5432,"('tragic', 'situation', 'puts', 'recession', 'perspective', 'k', 'starving', 'children', 'dying', 'diarrhea', 'measles', 'shelter', 'smh')",0.0,1.0,neutral
6318,"('new', 'single', 'mmr', 'studios')",0.0,1.0,neutral
1051,"('sixty', 'mmr', 'life')",0.0,1.0,neutral
6692,"('son', 'vaccinatedhe', 'became', 'ill', 'amp', 'never', 'autistic', 'diagnosis', 'cant', 'sure', 'still', 'wonder')",-1.0,1.0,negative
4914,"('thank', 'saying', 'mother', 'vaccine', 'damaged', 'child', 'saw', 'grave', 'effects')",-1.0,1.0,negative
9673,"('measles', 'used', 'put', 'cancer', 'remission')",-1.0,0.6666666666666666,negative
9393,"('average', 'people', 'complain', 'live', 'longer', 'releasing', 'tension', 'increases', 'immunity', 'boosts', 'health')",0.0,1.0,neutral
4300,"('sb', 'update', 'child', 'protective', 'services', 'providing', 'definitions', 'immunity', 'liability')",0.0,1.0,neutral
9357,"('people', 'complain', 'live', 'longer', 'releasing', 'tension', 'increases', 'immunity', 'improves', 'overall', 'health', 'bam', 'good')",0.0,1.0,neutral
3741,"('convenient', 'vaccinated', 'parents', 'vax', 'innocent', 'germy', 'little', 'kids')",1.0,1.0,positive
181,"('babies', 'die', 'sickened', 'bad', 'vaccines', 'south', 'mexico', 'mexicos', 'public', 'health', 'system', 'suspended', 'infant')",0.0,0.6666666666666666,neutral
3981,"('north', 'outbreak', 'serious')",0.0,1.0,neutral
9849,"('im', 'open', 'pretty', 'much', 'opinions', 'dont', 'vaccinate', 'kids', 'youre', 'utter', 'scum')",1.0,1.0,positive
1850,"('immunization', 'requirements', 'school', 'year', 'released', 'indiana', 'state', 'department', 'health', 'published')",0.0,1.0,neutral
4106,"('mmr', 'fallen', 'depths', 'hell', 'swear', 'im', 'duoing', 'anyone', 'rest', 'season')",0.0,1.0,neutral
2818,"('ms', 'parents', 'fighting', 'vaccine', 'waiver', 'amp', 'philosophical', 'exemption', 'children')",-1.0,0.6666666666666666,negative
3429,"('jealously', 'popular', 'disease', 'thats', 'spreading', 'rapidly', 'vaccine', 'asap', 'called')",1.0,0.6666666666666666,positive
5291,"('vaccines', 'craziest', 'thing', 'think', 'making', 'person', 'sick', 'injecting', 'disease', 'lmao')",-1.0,0.6666666666666666,negative
6895,"('mmr', 'live', 'school', 'night', 'mixmasterrods', 'upstairs', 'lounge')",0.0,1.0,neutral
6902,"('deadly', 'truth', 'vaccine', 'denialism', 'via')",1.0,1.0,positive
6311,"('done', 'minute', 'presentation', 'spanish', 'measles', 'vaccinations', 'now', 'anything')",1.0,0.6666666666666666,positive
8348,"('doctors', 'parents', 'may', 'contributing', 'rise', 'measles', 'abc', 'news', 'news')",-1.0,0.3333333333333333,negative
3014,"('typhoid', 'vaccine', 'pills', 'take', 'trip', 'killing')",0.0,0.6666666666666666,neutral
6597,"('measles', 'now')",0.0,1.0,neutral
8256,"('sides', 'face', 'vaccines', 'public', 'schools', 'opposing', 'sides', 'vaccination', 'bills', 'butted', 'heads', 'tuesday')",-1.0,0.6666666666666666,negative
9079,"('people', 'rt', 'k', 'ny', 'school', 'kids', 'arent', 'vaccinated', 'look', 'ny', 'schools', 'vaccination', 'rate')",1.0,1.0,positive
1496,"('measles', 'outbreak', 'reaches', 'cumberland', 'pa')",0.0,0.6666666666666666,neutral
6439,"('cada', 'dia', 'scientists', 'lies', 'measles', 'vaccine', 'causing', 'autism', 'recent', 'outbreak', 'measles', 'us', 'arguably', 'direct')",1.0,1.0,positive
657,"('breaking', 'news', 'fifth', 'measles', 'case', 'confirmed', 'clark', 'county', 'fifth', 'measles', 'case', 'confirmed', 'clark')",0.0,1.0,neutral
3066,"('idiot', 'gt', 'rt', 'bachmann', 'v', 'perry', 'hpv', 'vaccine', 'calls', 'injections', 'sexually', 'transmitted', 'diseases')",1.0,0.6666666666666666,positive
1927,"('taking', 'baby', 'girl', 'vaccinated', 'south', 'branch', 'pet', 'amp', 'bird', 'clinic')",1.0,1.0,positive
7746,"('sponsor', 'e', 'cigs', 'summer', 'clearly', 'knows', 'whats', 'best', 'comes', 'health', 'vaccinating', 'child')",1.0,0.6666666666666666,positive
4511,"('african', 'nations', 'celebrate', 'percent', 'drop', 'child', 'mortality', 'rates', 'due', 'immunization')",1.0,0.6666666666666666,positive
4335,"('parents', 'refuse', 'children', 'vaccinated', 'deadly', 'disease', 'charged', 'child', 'dies', 'disease')",1.0,1.0,positive
3054,"('million', 'people', 'working', 'vaccinate', 'kids', 'polio', 'thats', 'incredible')",1.0,1.0,positive
267,"('un', 'stops', 'syria', 'vaccine', 'campaign', 'children', 'die')",-1.0,0.6666666666666666,negative
4725,"('got', 'booboo', 'sticker', 'inner', 'child', 'brave', 'california')",1.0,0.6666666666666666,positive
5369,"('felt', 'long', 'use', 'used', 'mmr', 'said', 'ik', 'longer')",0.0,1.0,neutral
8150,"('mr', 'right', 'mmr')",0.0,1.0,neutral
3074,"('doctors', 'often', 'yield', 'parents', 'requests', 'delay', 'kids', 'vaccines', 'doctors', 'commonly', 'requests', 'parents')",0.0,0.6666666666666666,neutral
213,"('fuckn', 'ball', 'wit', 'n', 'whole', 'mmr', 'team', 'hate', 'leave', 'got', 'go', 'next', 'time', 'im')",0.0,1.0,neutral
4941,"('real', 'reason', 'measles', 'cases', 'spiked', 'ohio', 'amish', 'via')",0.0,1.0,neutral
3056,"('lol', 'ur', 'im', 'pretty', 'sure', 'mmr', 'varicella', 'dose', 'vaccines', 'reaction', 'normal')",1.0,0.6666666666666666,positive
9522,"('vaccinated', 'children', 'times', 'diseases', 'disorders', 'unvaccinated', 'children')",-1.0,1.0,negative
4296,"('kids', 'eligible', 'vaccinated', 'vaccinate', 'children', 'end', 'story')",1.0,1.0,positive
9428,"('study', 'comparing', 'health', 'vaccinated', 'children', 'vs', 'nonvaccinated', 'children')",0.0,1.0,neutral
4776,"('measles', 'warning', 'issued', 'seattle', 'restaurant', 'oregon', 'sites', 'king', 'county', 'health', 'officials', 'warning', 'possible')",0.0,1.0,neutral
8018,"('promoting', 'initiative')",1.0,1.0,positive
7689,"('vaccines', 'meds', 'approved', 'fda', 'becuz', 'pharmaceutical', 'companies', 'test', 'rd', 'wrld', 'countries', 'dont', 'report', 'deaths')",-1.0,1.0,negative
593,"('say', 'kids', 'die', 'daily', 'happy', 'access')",1.0,1.0,positive
8732,"('public', 'health', 'officials', 'know', 'recently', 'vaccinated', 'individuals', 'spread', 'disease')",-1.0,0.6666666666666666,negative
8163,"('vaccinated', 'boys', 'yo', 'west', 'hollywood', 'man', 'died', 'contracting', 'meningococcal', 'disease')",1.0,1.0,positive
6355,"('vaccinated', 'people', 'tdap', 'people', 'flu', 'vaccine', 'clinic', 'together', 'saving', 'world', 'diseases')",1.0,1.0,positive
1694,"('wont', 'neighboruser')",0.0,1.0,neutral
1911,"('paperwork', 'ug', 'orange', 'county', 'health', 'care', 'agency', 'travel', 'immunization', 'clinic', 'santa', 'ana', 'ca')",1.0,0.6666666666666666,positive
390,"('major', 'finding', 'reduce', 'risk', 'strokes', 'children', 'via')",1.0,1.0,positive
8280,"('new', 'research', 'demonstrates', 'safe')",1.0,1.0,positive
7430,"('lets', 'start', 'worrying', 'getting', 'freaking', 'measles')",0.0,1.0,neutral
6221,"('vaccines', 'cause', 'autism', 'speak', 'discrimination')",1.0,1.0,positive
8019,"('amnews', 'san', 'francisco', 'gay', 'men', 'meningitis', 'vaccine', 'visiting', 'nyc', 'november', 'nyc', 'health')",1.0,0.6666666666666666,positive
4556,"('new', 'immunization', 'requirements', 'maryland', 'students', 'maryland', 'will', 'heading', 'back', 'school', 'next')",0.0,1.0,neutral
6248,"('mercy', 'moment', 'sanity', 'rt', 'ben', 'carson', 'vaccinations', 'shouldnt', 'allow', 'diseases', 'return')",1.0,1.0,positive
4451,"('bet', 'people', 'vaccinate', 'children', 'sold', 'doses', 'craft', 'tinctures', 'farmers', 'market')",1.0,1.0,positive
5913,"('kisses', 'blown', 'kisses', 'wasted', 'kisses', 'arent', 'kisses', 'unless', 'tasted', 'kisses', 'spread', 'germs', 'germs', 'hated', 'kiss', 'baby', 'im', 'vaccinated')",0.0,0.6666666666666666,neutral
9973,"('children', 'go', 'school', 'without', 'proper', 'vaccinations', 'forced', 'share', 'schools', 'illegals', 'without')",-1.0,0.3333333333333333,negative
7968,"('travel', 'immunization', 'nurse', 'specialist', 'passport', 'health', 'travel', 'medicine', 'philadelphia', 'pa')",0.0,0.6666666666666666,neutral
7731,"('waiting', 'benadryl', 'kick', 'poor', 'baby', 'allergic', 'reaction', 'vaccine')",-1.0,0.3333333333333333,negative
5636,"('immunizations', 'came', 'back', 'guess', 'kid', 'school')",1.0,0.6666666666666666,positive
8159,"('people', 'complain', 'live', 'longer', 'releasing', 'tension', 'increases', 'immunity', 'improves', 'overall', 'health', 'im', 'never', 'gonna', 'die')",0.0,1.0,neutral
3551,"('penn', 'amp', 'tellers', 'graphic', 'illustration', 'safety', 'beware', 'graphic', 'language')",1.0,1.0,positive
1978,"('measles', 'outbreak', 'thought')",0.0,1.0,neutral
9915,"('please', 'stop', 'pushing', 'bs', 'flu', 'vaccine', 'pharmaceutical', 'industrywe', 'dont', 'want', 'doesnt', 'work')",-1.0,1.0,negative
8351,"('fact', 'vaccinations', 'mandatory', 'school', 'nshit', 'makes', 'trust')",-1.0,0.6666666666666666,negative
3504,"('saving', 'childrens', 'lives', 'hope', 'tell', 'see', 'wednesday')",1.0,1.0,positive
73,"('already', 'cure', 'measles')",0.0,1.0,neutral
4084,"('son', 'prepostmmr', 'unreasonable', 'assume', 'kids', 'will', 'tolerate', 'vaccines')",-1.0,1.0,negative
6063,"('jen', 'mc', 'fan', 'all', 'kids', 'n', 'nyc', 'measlesamp', 'jms', 'fault', 'uneducated', 'absent', 'parenting', 'parents', 'fault')",1.0,0.6666666666666666,positive
9533,"('think', 'health', 'care', 'workers', 'dont', 'influenza', 'vaccine', 'shot')",1.0,0.6666666666666666,positive
805,"('families', 'choosing', 'vaccinate', 'children', 'tomorrow', 'one', 'mom', 'shares', 'personal', 'story')",0.0,0.6666666666666666,neutral
6347,"('moorpark', 'college', 'warns', 'students', 'staff', 'possible', 'measles', 'exposure')",0.0,1.0,neutral
4243,"('vaccinating', 'kids', 'past', 'two', 'decades', 'prevented', 'dying')",1.0,1.0,positive
9744,"('measles', 'cases', 'mn', 'far', 'right')",0.0,1.0,neutral
9818,"('feel', 'bad', 'kids', 'disney', 'land', 'wait', 'line', 'minutes', 'measles', '_')",0.0,1.0,neutral
6224,"('cat', 'bag', 'measles', 'outbreak', 'chicago', 'suburb')",0.0,1.0,neutral
4582,"('talk', 'measles', 'vaccination', 'rates', 'rt', 'slate', 'obama', 'holds', 'emergency', 'meeting', 'situation', 'room')",0.0,0.6666666666666666,neutral
3759,"('whole', 'measles', 'thing', 'ridiculous', 'vaccinate', 'damn', 'kids')",1.0,1.0,positive
889,"('measles', 'outbreak', 'different', 'states', 'different', 'rules', 'vaccinations', 'rash', 'measles', 'cases', 'across', 'country')",0.0,1.0,neutral
3262,"('aids', 'n', 'children', 'hiv', 'often', 'lack', 'measles', 'immunity')",0.0,0.6666666666666666,neutral
4247,"('mysterious', 'virus', 'spreading', 'across', 'us', 'amp', 'canada', 'amp', 'primarily', 'affecting', 'vaccinated', 'children')",-1.0,0.6666666666666666,negative
4577,"('thought', 'whooping', 'cough', 'something', 'texas', 'aggies', 'vaccinate', 'kids')",1.0,1.0,positive
1736,"('white', 'house', 'science', 'indicates', 'parents', 'vaccinate', 'kids', 'amid', 'measles', 'outbreak', 'stemming', 'california')",1.0,1.0,positive
2230,"('understanding', 'importance', 'vaccinations', 'child')",1.0,0.6666666666666666,positive
9121,"('vaccine', 'truth')",0.0,0.6666666666666666,neutral
2193,"('rt', 'america', 'cared', 'measles', 'hit', 'disneyland')",0.0,1.0,neutral
7889,"('measles', 'journey', 'highlights', 'risk', 'unvaccinated', 'kids', 'measles', 'outbreak', 'minnesota', 'offers', 'case', 'study')",0.0,0.6666666666666666,neutral
8518,"('said', 'will', 'living', 'breathing', 'measles', 'dissertation', 'done', 'awkward', 'pub', 'health', 'faux', 'pas')",0.0,1.0,neutral
1813,"('whats', 'real', 'sad', 'vaccinations', 'trial', 'lawyers', 'cause', 'autism')",0.0,0.6666666666666666,neutral
6948,"('advocacy', 'group', 'autism', 'speaks', 'urges', 'parents', 'vaccinate', 'kids')",1.0,1.0,positive
7133,"('aw', 'thanks', 'man', 'soon', 'well', 'inoculations', 'mmr')",0.0,0.6666666666666666,neutral
1892,"('cdc', 'caught', 'hiding', 'data', 'showing', 'mercury', 'vaccines', 'linked')",-1.0,1.0,negative
2831,"('state', 'issue', 'know', 'help')",1.0,0.6666666666666666,positive
9559,"('olentangy', 'schools', 'keep', 'students', 'lack', 'mumps', 'vaccination', 'five', 'olentangy', 'local', 'schools', 'students', 'will', 'stay')",0.0,0.6666666666666666,neutral
3071,"('measles',)",0.0,1.0,neutral
7274,"('possible', 'ebola', 'vaccines', 'rely', 'cells', 'aborted', 'babies', 'surprised')",-1.0,0.3333333333333333,negative
724,"('one', 'time', 'keep', 'overwhelming', 'immune', 'system', 'mmr', 'dpt', 'polio', 'hepatitis', 'overwhelming')",-1.0,0.3333333333333333,negative
8793,"('illinois', 'measles', 'count', 'climbs', 'cases', 'two', 'children', 'suburban', 'cook', 'county', 'come', 'measles')",0.0,1.0,neutral
4036,"('sti', 'hunter', 'college', 'north', 'building')",1.0,0.6666666666666666,positive
2013,"('wow', 'waiting', 'measles', 'vaccine', 'woman', 'walks', 'rx', 'refilled', 'birth', 'year')",1.0,1.0,positive
6416,"('hey', 'irresponsible', 'new', 'media', 'stop', 'getting', 'crazy', 'anti', 'vaccs', 'stay', 'home', 'moms', 'jazzed', 'spread', 'lies', 'kids', 'need', 'vaccinated')",1.0,1.0,positive
2505,"('vaccine', 'related', 'deaths')",-1.0,1.0,negative
4708,"('cant', 'expect', 'inoculation', 'keep', 'flu', 'awaynot', 'talking', 'measlesno', 'talking', 'avoidableeat', 'garlic')",0.0,1.0,neutral
3797,"('totally', 'disagree', 'kids', 'vaccinated', 'never', 'got', 'sick', 'anything')",-1.0,1.0,negative
6489,"('christie', 'breaks', 'obama', 'measles', 'vaccine', 'calls', 'balance', 'proof', 'christie', 'sucks')",-1.0,0.3333333333333333,negative
934,"('rt', 'call', 'vaccines', 'came', 'mark', 'revealed', 'son', 'unvaccinated', 'child', 'abuse', 'yes', 'without', 'doubt')",1.0,1.0,positive
2270,"('vaccines', 'autism', 'speaks', 'organization')",0.0,0.6666666666666666,neutral
9553,"('cant', 'believe', 'tl', 'disneyland', 'measles', 'happy', 'day', 'w', 'ra')",0.0,1.0,neutral
7335,"('getting', 'whooping', 'cough', 'vaccine', 'baby', 'doesnt', 'catch', 'anything')",1.0,1.0,positive
4718,"('ebola', 'cause', 'thousands', 'deaths', 'ushering', 'measles', 'via')",0.0,1.0,neutral
8480,"('dont', 'let', 'tb', 'spread', 'vaccinate', 'kids', 'young', 'age')",1.0,1.0,positive
6143,"('another', 'study', 'finds', 'link', 'mmr', 'vaccine', 'autism')",1.0,1.0,positive
4168,"('still', 'need', 'nd', 'tb', 'test', 'mmr', 'vaccine', 'license', 'arrive', 'copy', 'insurance', 'im', 'screwed')",1.0,1.0,positive
7925,"('measles', 'proves', 'delicate', 'issue', 'gop', 'field')",1.0,0.6666666666666666,positive
5215,"('average', 'people', 'complain', 'live', 'longer', 'releasing', 'tension', 'increases', 'immunity', 'boosts', 'health', 'livin', 'till')",0.0,1.0,neutral
4820,"('tired', 'long', 'time', 'will', 'make', 'sick', 'end', 'cuz', 'immunity', 'diseases', 'will', 'weaken')",0.0,1.0,neutral
799,"('daydreaming', 'running', 'jenny', 'mccarthy', 'shouting', 'vaccinate', 'hold', 'baby', 'lift', 'eyebrow', 'quizzically')",1.0,0.6666666666666666,positive
8888,"('footage', 'amp', 'archival', 'pictures', 'shows', 'disfiguring', 'efx', 'idea', 'etc')",0.0,0.6666666666666666,neutral
9614,"('state', 'waiting', 'feds', 'providing', 'vaccines', 'child', 'detainees', 'light', 'recent', 'surge', 'undocumented')",1.0,0.6666666666666666,positive
271,"('dont', 'act', 'surprised', 'gtyikes', 'thousands', 'bart', 'commuters', 'may', 'exposed', 'measles')",1.0,0.6666666666666666,positive
1722,"('vintage', 'mmr', 't', 'shirt', 'today', 'mruser', 'amp', 'rabbi', 'wearing', 'shirts')",0.0,0.6666666666666666,neutral
8985,"('ebola', 'shit', 'preplanned', 'stay', 'woke', 'gone', 'say', 'got', 'vaccine', 'soon', 'n', 'folk', 'gone', 'flock', 'it', 'outta', 'fear', 'fuck')",-1.0,1.0,negative
9568,"('ive', 'read', 'ton', 'scary', 'things', 'read', 'measles', 'back', 'asshole')",0.0,1.0,neutral
2203,"('serious', 'take', 'risks', 'good', 'info', 'story', 'vaccinated', 'ny', 'area', 'bravo')",1.0,0.6666666666666666,positive
6696,"('arizona', 'health', 'officials', 'monitoring', 'people', 'may', 'measles', 'tom', 'brady')",0.0,1.0,neutral
3319,"('childrens', 'lives', 'matter', 'think', 'twice', 'others', 'agenda', 'read', 'vaccine', 'package', 'inserts')",-1.0,0.6666666666666666,negative
4571,"('federal', 'judge', 'denied', 'injunction', 'california', 'vaccination', 'law', 'schoolchildren')",0.0,0.6666666666666666,neutral
5568,"('dont', 'kids', 'ill', 'take', 'vaccinated', 'youre', 'busy')",1.0,1.0,positive
6900,"('dont', 'know', 'schools', 'need', 'd', 'vaccine', 'sef')",-1.0,0.6666666666666666,negative
2365,"('aids', 'n', 'mmr', 'vaccination', 'may', 'reliable', 'hiv', 'children')",0.0,0.6666666666666666,neutral
9423,"('im', 'mmr', 'station', 'mount', 'pleasant', 'mi')",0.0,0.6666666666666666,neutral
6750,"('killed', 'word', 'measles')",0.0,1.0,neutral
1956,"('nancy', 'snyderman', 'discuss', 'measles', 'immunization', 'wouldnt', 'stay', 'quarantined', 'emboli', 'trust', 'way')",0.0,0.6666666666666666,neutral
9166,"('lose', 'brain', 'cells', 'read', 'anti', 'vaccine', 'arguments')",1.0,1.0,positive
574,"('women', 'developing', 'world', 'know', 'power', 'vaccines', 'will', 'walk', 'km', 'child', 'heat', 'amp', 'line')",1.0,1.0,positive
5626,"('dont', 'vaccinate', 'dont', 'trust', 'need', 'another', 'fear', 'tactic', 'master', 'narrative')",-1.0,0.6666666666666666,negative
4041,"('measles', 'th', 'common', 'cause', 'death', 'kids', 'yr', 'worldwide')",1.0,1.0,positive
5453,"('mandatory', 'cooties', 'vaccination')",-1.0,0.3333333333333333,negative
1680,"('people', 'complain', 'live', 'longer', 'releasing', 'tension', 'increases', 'immunity', 'improves', 'overall', 'health', 'im', 'nvr', 'dying')",0.0,1.0,neutral
5601,"('vaccines', 'dont', 'cause', 'autism', 'got')",1.0,1.0,positive
6697,"('outbreak', 'quebec', 'canada', 'cases', 'fully', 'vaccinated')",-1.0,0.6666666666666666,negative
5958,"('aids', 'disease', 'severe', 'lost', 'bodys', 'cellular', 'immunity')",0.0,1.0,neutral
1176,"('stupid', 'going', 'kill', 'us', 'rt', 'antivaxxers', 'brought', 'measles', 'back', 'new', 'york', 'city')",1.0,0.6666666666666666,positive
6473,"('cdc', 'now', 'recommends', 'two', 'doses', 'chickenpox', 'vaccine', 'take', 'kids', 'vaccines', 'may', 'need')",0.0,0.6666666666666666,neutral
6234,"('welcome', 'development', 'vaccine', 'preventable', 'diseases', 'cross', 'river', 'introduces', 'pentavalent', 'vaccine')",1.0,1.0,positive
6810,"('dont', 'see', 'flipping', 'vaccine', 'issue', 'gop', 'thing', 'know', 'hippy', 'lefties', 'stupid', 'vaccinate', 'kids')",1.0,1.0,positive
4189,"('bennett', 'tries', 'fails', 'add', 'mercury', 'vaccine', 'ban', 'health', 'care', 'bill', 'via')",0.0,0.6666666666666666,neutral
8700,"('son', 'prepost', 'mmr', 'unreasonable', 'assume', 'vaccines', 'safe')",-1.0,1.0,negative
3526,"('tremendous', 'population')",0.0,1.0,neutral
8919,"('youll', 'risk', 'say', 'polio', 'know', 'getting', 'enough', 'worry', 'will', 'vaccinate', 'm')",1.0,0.6666666666666666,positive
2792,"('lol', 'ewww', 'maybe', 'u', 'got', 'measles')",0.0,1.0,neutral
8034,"('az', 'monitoring', 'people', 'including', 'children', 'exposed', 'vaccinate')",1.0,0.6666666666666666,positive
4236,"('vaccine', 'pharmaceutical', 'sales', 'representative', 'inventivhealth', 'lake', 'charles', 'la')",0.0,1.0,neutral
6169,"('ricky', 'foloowed', 'mmr', 'finally', 'something', 'right')",0.0,1.0,neutral
6134,"('headline', 'misleading', 'wrong', 'mt', 'cdc', 'admits', 'flu', 's', 'ineffectiveness', 'read')",-1.0,0.6666666666666666,negative
9916,"('meningitis', 'outbreak', 'ca', 'students', 'may', 'vaccine', 'princeton', 'got', 'cnn', 'potentially', 'deadly', 'disease')",0.0,0.6666666666666666,neutral
2609,"('scary', 'daycare', 'infants', 'quarantined', 'baby', 'contracts', 'measles', 'via')",0.0,0.6666666666666666,neutral
4219,"('rt', 'video', 'dr', 'unloads', 'safe', 'vaccines')",-1.0,0.6666666666666666,negative
